129,Keith,1194.0,264.0,GBR
130,Kellis,499.0,1160.0,IRL
131,Kells,704.0,758.0,GBR
132,Kemsley,1460.0,1636.0,GBR
133,Killonan,302.0,1145.0,IRL
134,Kilmarnock South,933.0,648.0,GBR
135,Kilroot,747.0,782.0,GBR
136,Kintore,1227.0,338.0,GBR
137,Kirkby,1061.0,1100.0,GBR
138,Kirkstall,1218.0,1071.0,GBR
139,Kitwell,1129.0,1363.0,GBR
140,Knockraha,295.0,1282.0,IRL
141,Lackenby,1298.0,921.0,GBR
142,Laleham,1264.0,1582.0,GBR
143,Lambhill,1039.0,540.0,GBR
144,Landulph,762.0,1707.0,GBR
145,Legacy,1017.0,1216.0,GBR
146,Leighton Buzzard,1260.0,1494.0,GBR
147,Lister Drive,1044.0,1119.0,GBR
148,Littlebrook,1389.0,1606.0,GBR
149,Lodgehood,555.0,1197.0,IRL
150,London02,1289.0,1578.0,GBR
151,London03,1315.0,1597.0,GBR
152,London04,1307.0,1571.0,GBR
153,London05,1333.0,1540.0,GBR
154,London06,1362.0,1528.0,GBR
155,London07,1324.0,1559.0,GBR
156,London08,1337.0,1575.0,GBR
157,London09,1351.0,1565.0,GBR
158,London10,1352.0,1549.0,GBR
159,London11,1369.0,1553.0,GBR
160,London12,1363.0,1576.0,GBR
161,London13,1339.0,1598.0,GBR
162,London14,1405.0,1589.0,GBR
163,London15,1402.0,1616.0,GBR
164,London16,1427.0,1604.0,GBR
165,Louth,614.0,912.0,IRL
166,Lovedean,1199.0,1688.0,GBR
167,Macclesfield,1144.0,1178.0,GBR
168,Magherafelt,656.0,753.0,GBR
169,Mannington,1081.0,1690.0,GBR
170,Margam,873.0,1490.0,GBR
171,Maynooth,581.0,1057.0,IRL
172,Melksham,1081.0,1559.0,GBR
173,Minety,1090.0,1527.0,GBR
174,Moneypoint,203.0,1101.0,IRL
175,Monk Fryston,1268.0,1091.0,GBR
176,Mossmorran,1121.0,556.0,GBR
177,Neepsend,1219.0,1157.0,GBR
178,Neilston,952.0,602.0,GBR
179,Ninfield,1396.0,1722.0,GBR
180,Norton,1266.0,893.0,GBR
181,Norwich Main,1554.0,1375.0,GBR
182,Nursling,1156.0,1669.0,GBR
183,Ocker Hill,1147.0,1329.0,GBR
184,Offerton,1278.0,844.0,GBR
185,Oldbury,1130.0,1354.0,GBR
186,Oldstreet,356.0,1041.0,IRL
187,Osbaldwick,1303.0,1047.0,GBR
188,Padiham,1152.0,1056.0,GBR
189,Patford Bridge,1255.0,1439.0,GBR
190,Pelham,1375.0,1494.0,GBR
191,Pembroke,713.0,1445.0,GBR
192,Penn,1094.0,1337.0,GBR
193,Pentir,882.0,1160.0,GBR
194,Penwortham,1083.0,1061.0,GBR
195,Peterhead,1318.0,285.0,GBR
196,Poolbeg,635.0,1068.0,IRL
197,Poppleton,1291.0,1041.0,GBR
198,Porto Bello,1195.0,599.0,GBR
199,Prospect,227.0,1108.0,IRL
200,Pyle,888.0,1505.0,GBR
201,Quermore,1107.0,1000.0,GBR
202,Raffeen,279.0,1306.0,IRL
203,Rainhill,1066.0,1122.0,GBR
204,Rassau,959.0,1453.0,GBR
205,Ratcliffe,1242.0,1276.0,GBR
206,Rayleigh Main,1436.0,1577.0,GBR
207,Rochdale,1150.0,1101.0,GBR
208,Rowdown,1350.0,1630.0,GBR
209,Rugeley,1153.0,1299.0,GBR
210,Rye House,1342.0,1512.0,GBR
211,S. Manchester,1129.0,1137.0,GBR
212,Saltholme,1285.0,899.0,GBR
213,Seabank,1014.0,1523.0,GBR
214,Sellindge,1470.0,1692.0,GBR
215,Shannonbridge,402.0,1024.0,IRL
216,Shrewsbury,1046.0,1292.0,GBR
217,Sizewell,1580.0,1467.0,GBR
218,Skelton G,1238.0,1073.0,GBR
219,South Shields,1274.0,812.0,GBR
220,Spalding North,1378.0,1309.0,GBR
221,Spennymoor,1250.0,873.0,GBR
222,Srananagh,409.0,814.0,IRL
223,St. Johns Wood,1293.0,1548.0,GBR
224,Stalybridge,1159.0,1127.0,GBR
225,Stanah,1062.0,1024.0,GBR
226,Staythorphe,1292.0,1241.0,GBR
227,Stella West,1231.0,815.0,GBR
228,Stocksbridge,1201.0,1134.0,GBR
229,Stoneywood,1270.0,359.0,GBR
230,Strathaven,1007.0,639.0,GBR
231,Sundon,1297.0,1498.0,GBR
232,Swansea North,852.0,1455.0,GBR
233,Talbert,195.0,1123.0,IRL
234,Tamnamore,634.0,803.0,GBR
235,Tandragee,651.0,849.0,GBR
236,Taunton,927.0,1627.0,GBR
237,Tealing,1142.0,480.0,GBR
238,Templeborough,1220.0,1169.0,GBR
239,Thornton,1327.0,1067.0,GBR
241,Thurcroft,1247.0,1169.0,GBR
242,Torness,1228.0,623.0,GBR
243,Trawsfynydd,904.0,1217.0,GBR
