-0.843312	-0.17491	39.3333333333	-8.9333333333
-0.717392	0.298408	43.35	-8.4
-0.51807	-0.625123	36.1666666667	-5.3666666667
-0.274105	0.9141	48.42	-4.49136
-0.063399	0.262323	43.3666666667	-1.7833333333
0.288215	1.208329	50.91	1.93253
0.510231	0.317976	43.6	3.8833333333
0.633426	0.85431	47.95	5.2833333333
0.901018	1.958588	57.05	9.9333333333
1.03236	0.517027	44.71	8.89
1.043735	1.26765	50.9833333333	10.3166666667
1.41345	0.683222	45.8	13.5333333333
1.437284	1.075548	49.0166666667	14.4
1.566508	1.486183	51.86143	16.57523
1.767771	-0.374272	37.03232	14.69968
1.833054	0.816773	46.61	17.8
1.838317	0.630801	44.7666666667	17.1833333333
1.94117	1.795075	53.8166666667	22.35
2.056676	0.057856	40.1666666667	18.1666666667
2.087059	1.293202	49.6833333333	21.85
2.304895	0.479637	43.32	21.9
2.377682	0.931249	47.72	23.24
2.464179	-0.115623	38	23.8833333333
2.597906	0.231422	41.08692	25.734
2.862923	0.656927	45.1666666667	28.8

